,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
75,Arlington Heights,45.5194963,-122.7106671,Pro Photo Supply,45.53102055,-122.6903869,Camera Store
76,Arlington Heights,45.5194963,-122.7106671,Shalom Y'All,45.52108942,-122.6833968,Israeli Restaurant
77,Arlington Heights,45.5194963,-122.7106671,Amazon@Downtown Portland,45.51647785,-122.6857211,Shipping Store
78,Arlington Heights,45.5194963,-122.7106671,Lardo West,45.52202939,-122.6834639,Sandwich Place
79,Arlington Heights,45.5194963,-122.7106671,The Daily Feast,45.51906186,-122.683853,Diner
80,Arlington Heights,45.5194963,-122.7106671,Nong’s Khao Man Gai,45.52261595,-122.6842885,Thai Restaurant
81,Arlington Heights,45.5194963,-122.7106671,Food Front Cooperative Grocery NW,45.53554237,-122.7003107,Grocery Store
82,Arlington Heights,45.5194963,-122.7106671,YoYo Yogi,45.52707157,-122.6846311,Yoga Studio
83,Arlington Heights,45.5194963,-122.7106671,Restaurant St Jack,45.53418829,-122.6987145,French Restaurant
84,Arlington Heights,45.5194963,-122.7106671,Portland Art Museum,45.51622988,-122.6835966,Art Museum
85,Arlington Heights,45.5194963,-122.7106671,10 Barrel Brewing,45.5259067,-122.6854737,Brewery
86,Arlington Heights,45.5194963,-122.7106671,Hostelling International-Northwest Portland Hostel,45.52616477,-122.6894272,Hostel
87,Arlington Heights,45.5194963,-122.7106671,Andina,45.52646269,-122.684632,Peruvian Restaurant
88,Arlington Heights,45.5194963,-122.7106671,Barista,45.52695426,-122.684357,Coffee Shop
89,Arlington Heights,45.5194963,-122.7106671,Heart Coffee,45.52143934,-122.6837125,Coffee Shop
90,Arlington Heights,45.5194963,-122.7106671,The Float Shoppe,45.53361914,-122.6988528,Spa
91,Arlington Heights,45.5194963,-122.7106671,REI,45.528732,-122.6855681,Sporting Goods Shop
92,Arlington Heights,45.5194963,-122.7106671,Bamboo Sushi,45.52241727,-122.6830026,Sushi Restaurant
93,Arlington Heights,45.5194963,-122.7106671,Stumptown Coffee Roasters,45.52221295,-122.6817524,Coffee Shop
94,Arlington Heights,45.5194963,-122.7106671,Powell's City of Books,45.52318049,-122.6813745,Bookstore
95,Arlington Heights,45.5194963,-122.7106671,Powell's Books Orange Room,45.52355957,-122.6818877,Bookstore
96,Arlington Heights,45.5194963,-122.7106671,TOMS Store - Portland,45.5230957,-122.6836923,Shoe Store
97,Arlington Heights,45.5194963,-122.7106671,Korean Twist,45.5202301,-122.6819358,Food Truck
98,Arlington Heights,45.5194963,-122.7106671,Byways Cafe,45.52647392,-122.6836177,Diner
99,Arlington Heights,45.5194963,-122.7106671,lululemon athletica,45.52378369,-122.6838625,Clothing Store
100,Forest Park,45.56146795,-122.7585806,Forest Park,45.56000762,-122.7563381,Forest
101,Forest Park,45.56146795,-122.7585806,Saltzman Trail,45.56625987,-122.7528948,Trail
102,Forest Park,45.56146795,-122.7585806,Forest Park - Ridge Trailhead,45.58220848,-122.76829,Trail
103,Forest Park,45.56146795,-122.7585806,Forest Heights Park,45.5432836,-122.7761221,Park
104,Forest Park,45.56146795,-122.7585806,Penske Truck Rental,45.552572,-122.7295303,Rental Car Location
105,Forest Park,45.56146795,-122.7585806,Subway,45.55377759,-122.7311337,Sandwich Place
106,Forest Park,45.56146795,-122.7585806,Food Sak Deli,45.55376338,-122.7311812,Deli / Bodega
107,Forest Park,45.56146795,-122.7585806,Miller Hollow Trail,45.54367717,-122.7751849,Trail
108,Forest Park,45.56146795,-122.7585806,Forest Park Elementary Field,45.5439997,-122.7780885,Soccer Field
109,Goose Hollow,45.517749,-122.692819,Providence Park,45.52154845,-122.691772,Soccer Stadium
110,Goose Hollow,45.517749,-122.692819,Multnomah Athletic Club (MAC),45.52024412,-122.6921899,Gym / Fitness Center
111,Goose Hollow,45.517749,-122.692819,Hotel deLuxe,45.5209868,-122.6877048,Hotel
112,Goose Hollow,45.517749,-122.692819,The Civic Taproom & Bottle Shop,45.52259395,-122.6902536,Beer Store
113,Goose Hollow,45.517749,-122.692819,Elephants Delicatessen,45.52383153,-122.6965488,Deli / Bodega
114,Goose Hollow,45.517749,-122.692819,Coava Coffee Roasters,45.51653695,-122.6859493,Coffee Shop
115,Goose Hollow,45.517749,-122.692819,Artists Repertory Theatre,45.52173709,-122.6875958,Theater
116,Goose Hollow,45.517749,-122.692819,Amazon@Downtown Portland,45.51647785,-122.6857211,Shipping Store
117,Goose Hollow,45.517749,-122.692819,Driftwood Room,45.5209868,-122.6877048,Cocktail Bar
118,Goose Hollow,45.517749,-122.692819,Timbers Army Fanladen,45.52256146,-122.6886597,Athletics & Sports
119,Goose Hollow,45.517749,-122.692819,Blue Star Donuts,45.52072157,-122.6838434,Donut Shop
120,Goose Hollow,45.517749,-122.692819,Little Red's Bakeshop & Cafe,45.52056056,-122.6867102,Bakery
121,Goose Hollow,45.517749,-122.692819,Portland Art Museum,45.51622988,-122.6835966,Art Museum
122,Goose Hollow,45.517749,-122.692819,Tasty ’N Alder,45.52130367,-122.6834699,American Restaurant
123,Goose Hollow,45.517749,-122.692819,Multnomah Whisk{e}y Library,45.52103048,-122.6833975,Cocktail Bar
124,Goose Hollow,45.517749,-122.692819,Uno Mas Taquiza,45.52281552,-122.6904981,Taco Place
125,Goose Hollow,45.517749,-122.692819,The Daily Feast,45.51906186,-122.683853,Diner
126,Goose Hollow,45.517749,-122.692819,Portland Farmer's Market at PSU,45.51223568,-122.6849647,Farmers Market
127,Goose Hollow,45.517749,-122.692819,Shalom Y'All,45.52108942,-122.6833968,Israeli Restaurant
128,Goose Hollow,45.517749,-122.692819,Grassa,45.52198474,-122.6836747,Italian Restaurant
129,Goose Hollow,45.517749,-122.692819,Ringside,45.52335705,-122.6957089,Steakhouse
130,Goose Hollow,45.517749,-122.692819,Zupan's Market,45.52324572,-122.6988878,Grocery Store
131,Goose Hollow,45.517749,-122.692819,Cacao Drink Chocolate,45.52261792,-122.684186,Dessert Shop
132,Goose Hollow,45.517749,-122.692819,Arlene Schnitzer Concert Hall,45.51722886,-122.6815523,Concert Hall
133,Goose Hollow,45.517749,-122.692819,Lardo West,45.52202939,-122.6834639,Sandwich Place
134,Goose Hollow,45.517749,-122.692819,Ken's Artisan Bakery,45.52546303,-122.6943386,Bakery
135,Goose Hollow,45.517749,-122.692819,South Park Blocks,45.51561839,-122.6828066,Park
136,Goose Hollow,45.517749,-122.692819,Heart Coffee,45.52143934,-122.6837125,Coffee Shop
137,Goose Hollow,45.517749,-122.692819,Korean Twist,45.5202301,-122.6819358,Food Truck
138,Goose Hollow,45.517749,-122.692819,Nong’s Khao Man Gai,45.52261595,-122.6842885,Thai Restaurant
139,Goose Hollow,45.517749,-122.692819,Washington Park,45.5178349,-122.7057838,Park
140,Goose Hollow,45.517749,-122.692819,Addy's Sandwich Bar,45.51853352,-122.6827196,Sandwich Place
141,Goose Hollow,45.517749,-122.692819,Stumptown Coffee Roasters,45.52221295,-122.6817524,Coffee Shop
142,Goose Hollow,45.517749,-122.692819,Ole Latte Coffee,45.52082737,-122.6821879,Food Truck
143,Goose Hollow,45.517749,-122.692819,Director Park,45.51884556,-122.6812992,Park
144,Goose Hollow,45.517749,-122.692819,Case Study Coffee,45.51924782,-122.6824198,Coffee Shop
145,Goose Hollow,45.517749,-122.692819,Bamboo Sushi,45.52241727,-122.6830026,Sushi Restaurant
146,Goose Hollow,45.517749,-122.692819,Alder Food Carts,45.52092218,-122.6811409,Street Food Gathering
147,Goose Hollow,45.517749,-122.692819,Kask,45.5213741,-122.6840471,Cocktail Bar
148,Goose Hollow,45.517749,-122.692819,Powell's City of Books,45.52318049,-122.6813745,Bookstore
149,Goose Hollow,45.517749,-122.692819,Higgins Restaurant & Bar,45.51546379,-122.6820737,French Restaurant
150,Goose Hollow,45.517749,-122.692819,Wailua Shave Ice,45.52246363,-122.6816837,Dessert Shop
151,Goose Hollow,45.517749,-122.692819,Huong's Vietnamese Food,45.52098803,-122.6815428,Food Truck
152,Goose Hollow,45.517749,-122.692819,"Fried Egg, I'm In Love",45.51879939,-122.679621,Food Truck
153,Goose Hollow,45.517749,-122.692819,International Rose Test Garden,45.51907491,-122.7056157,Botanical Garden
154,Goose Hollow,45.517749,-122.692819,Sterling Coffee Roasters,45.52597786,-122.6943533,Coffee Shop
155,Goose Hollow,45.517749,-122.692819,Powell's Books Orange Room,45.52355957,-122.6818877,Bookstore
156,Goose Hollow,45.517749,-122.692819,TOMS Store - Portland,45.5230957,-122.6836923,Shoe Store
157,Goose Hollow,45.517749,-122.692819,Ruby Jewel Scoops,45.52211081,-122.6833452,Ice Cream Shop
158,Goose Hollow,45.517749,-122.692819,Powell's Books Gold Room,45.52318158,-122.681416,Bookstore
159,Goose Hollow,45.517749,-122.692819,Mediterranean Exploration Company,45.52571249,-122.6845935,Mediterranean Restaurant
160,Goose Hollow,45.517749,-122.692819,Masu Sushi,45.5225887,-122.6840513,Sushi Restaurant
161,Goose Hollow,45.517749,-122.692819,The Danner Store,45.52283566,-122.6816698,Shoe Store
162,Goose Hollow,45.517749,-122.692819,lululemon athletica,45.52378369,-122.6838625,Clothing Store
163,Goose Hollow,45.517749,-122.692819,Clyde Common,45.52215837,-122.6814535,American Restaurant
164,Goose Hollow,45.517749,-122.692819,Southpark Seafood & Oyster Bar,45.517909,-122.681596,Seafood Restaurant
165,Goose Hollow,45.517749,-122.692819,Newmark Theatre,45.51671541,-122.6812058,Performing Arts Venue
166,Goose Hollow,45.517749,-122.692819,Trader Joe's,45.52614928,-122.6951399,Grocery Store
167,Goose Hollow,45.517749,-122.692819,Portland Japanese Garden,45.51945663,-122.7069372,Garden
168,Goose Hollow,45.517749,-122.692819,The Heathman Hotel,45.51714,-122.68113,Hotel
169,Goose Hollow,45.517749,-122.692819,Gerding Theater at The Armory,45.5242007,-122.6821495,Theater
170,Goose Hollow,45.517749,-122.692819,Powell's Books Rose Room,45.52348363,-122.681471,Bookstore
171,Goose Hollow,45.517749,-122.692819,Deschutes Brewery Portland Public House,45.52454409,-122.6819823,Brewery
172,Goose Hollow,45.517749,-122.692819,Brunch Box,45.52000963,-122.681,Burger Joint
173,Goose Hollow,45.517749,-122.692819,Sentinel Hotel,45.52059,-122.68258,Hotel
174,Goose Hollow,45.517749,-122.692819,Oven & Shaker,45.52496735,-122.6828017,Pizza Place
175,Goose Hollow,45.517749,-122.692819,Aybla Mediterranean Grill,45.52063038,-122.6813765,Food Truck
176,Goose Hollow,45.517749,-122.692819,10 Barrel Brewing,45.5259067,-122.6854737,Brewery
177,Goose Hollow,45.517749,-122.692819,The Melting Pot,45.51661,-122.67936,Fondue Restaurant
178,Goose Hollow,45.517749,-122.692819,Andina,45.52646269,-122.684632,Peruvian Restaurant
179,Goose Hollow,45.517749,-122.692819,Living Room Theatres,45.52231435,-122.6813022,Movie Theater
180,Goose Hollow,45.517749,-122.692819,The Good Mod,45.52313796,-122.6845448,Furniture / Home Store
181,Goose Hollow,45.517749,-122.692819,Voicebox Karaoke,45.52692579,-122.6947924,Karaoke Bar
182,Goose Hollow,45.517749,-122.692819,YoYo Yogi,45.52707157,-122.6846311,Yoga Studio
183,Goose Hollow,45.517749,-122.692819,Barista,45.52695426,-122.684357,Coffee Shop
184,Goose Hollow,45.517749,-122.692819,The Grilled Cheese Grill,45.52109585,-122.681495,Food Truck
185,Goose Hollow,45.517749,-122.692819,Kimpton Hotel Monaco Portland,45.519876,-122.677367,Hotel
186,Goose Hollow,45.517749,-122.692819,Moonstruck Chocolate Company,45.52656565,-122.6983942,Candy Store
187,Goose Hollow,45.517749,-122.692819,Courier Coffee,45.52265235,-122.6807531,Coffee Shop
188,Goose Hollow,45.517749,-122.692819,KURE Juice Bar,45.51749891,-122.6784571,Juice Bar
189,Goose Hollow,45.517749,-122.692819,Byways Cafe,45.52647392,-122.6836177,Diner
190,Goose Hollow,45.517749,-122.692819,Tiffany & Co.,45.517608,-122.676712,Jewelry Store
191,Goose Hollow,45.517749,-122.692819,TILT,45.52527401,-122.6843347,Burger Joint
192,Goose Hollow,45.517749,-122.692819,Kenny & Zuke's Delicatessen,45.5222047,-122.6819826,Sandwich Place
193,Goose Hollow,45.517749,-122.692819,Bartini,45.52621082,-122.6947661,Cocktail Bar
194,Goose Hollow,45.517749,-122.692819,Park Avenue Fine Wines,45.51975261,-122.6805393,Wine Shop
195,Goose Hollow,45.517749,-122.692819,the Nines Hotel,45.51866357,-122.6782006,Hotel
196,Goose Hollow,45.517749,-122.692819,Yoga Pearl,45.52435388,-122.6807631,Yoga Studio
197,Goose Hollow,45.517749,-122.692819,Salt & Straw,45.528929,-122.698298,Ice Cream Shop
198,Goose Hollow,45.517749,-122.692819,Veggie Grill,45.51723861,-122.6782455,Vegetarian / Vegan Restaurant
199,Goose Hollow,45.517749,-122.692819,Fogo de Chão,45.51712136,-122.6793456,Brazilian Restaurant
200,Goose Hollow,45.517749,-122.692819,Bailey's Taproom,45.52255987,-122.6780646,Pub
201,Goose Hollow,45.517749,-122.692819,Papa Haydn,45.52774746,-122.6986225,Dessert Shop
202,Goose Hollow,45.517749,-122.692819,MUJI,45.51898451,-122.6776545,Department Store
203,Goose Hollow,45.517749,-122.692819,Little Bird Bistro,45.52212722,-122.6769423,French Restaurant
204,Goose Hollow,45.517749,-122.692819,Powell's Books Green Room,45.52328465,-122.6813578,Bookstore
205,Goose Hollow,45.517749,-122.692819,The Duniway,45.5177981,-122.6790716,Hotel
206,Goose Hollow,45.517749,-122.692819,Powell's Books Rare Book Room,45.52355197,-122.6817552,Bookstore
207,Goose Hollow,45.517749,-122.692819,Tea Chai Té,45.52819215,-122.698443,Tea Room
208,Goose Hollow,45.517749,-122.692819,Wildfang,45.52187549,-122.6809448,Women's Store
209,Hillside,45.5274391,-122.7131197,Forest Park - Wildwood Trail,45.52723349,-122.7170033,Trail
210,Hillside,45.5274391,-122.7131197,Pittock Mansion,45.52526176,-122.7166843,Museum
211,Hillside,45.5274391,-122.7131197,Lower MacLeay Park,45.53583667,-122.7123863,Park
212,Hillside,45.5274391,-122.7131197,Portland Japanese Garden,45.51945663,-122.7069372,Garden
213,Hillside,45.5274391,-122.7131197,Salt & Straw,45.528929,-122.698298,Ice Cream Shop
214,Hillside,45.5274391,-122.7131197,Hoyt Arboretum,45.51749285,-122.7177143,Park
215,Hillside,45.5274391,-122.7131197,International Rose Test Garden,45.51907491,-122.7056157,Botanical Garden
216,Hillside,45.5274391,-122.7131197,Washington Park,45.5178349,-122.7057838,Park
217,Hillside,45.5274391,-122.7131197,Bibi2Go,45.53009447,-122.6986563,Korean Restaurant
218,Hillside,45.5274391,-122.7131197,The Clearing Café,45.53528225,-122.7082818,Café
219,Hillside,45.5274391,-122.7131197,Papa Haydn,45.52774746,-122.6986225,Dessert Shop
220,Hillside,45.5274391,-122.7131197,Tea Chai Té,45.52819215,-122.698443,Tea Room
221,Hillside,45.5274391,-122.7131197,Wallace Park,45.53322876,-122.7038097,Park
222,Hillside,45.5274391,-122.7131197,Bamboo Sushi NW,45.52898121,-122.6984941,Sushi Restaurant
223,Hillside,45.5274391,-122.7131197,The Meadow - NW 23rd Ave.,45.52854514,-122.6986709,Gourmet Shop
224,Hillside,45.5274391,-122.7131197,Zupan's Market,45.52324572,-122.6988878,Grocery Store
225,Hillside,45.5274391,-122.7131197,Moonstruck Chocolate Company,45.52656565,-122.6983942,Candy Store
226,Hillside,45.5274391,-122.7131197,Warby Parker,45.52868405,-122.6986568,Optical Shop
227,Hillside,45.5274391,-122.7131197,Barista,45.52879505,-122.6986005,Coffee Shop
228,Hillside,45.5274391,-122.7131197,Elephants Delicatessen,45.52383153,-122.6965488,Deli / Bodega
229,Hillside,45.5274391,-122.7131197,Little Big Burger,45.52943396,-122.6985326,Burger Joint
230,Hillside,45.5274391,-122.7131197,LUSH,45.52781976,-122.6984536,Cosmetics Shop
231,Hillside,45.5274391,-122.7131197,Blue Star Donuts,45.5295331,-122.6986802,Donut Shop
232,Hillside,45.5274391,-122.7131197,St. Honoré Boulangerie,45.53557424,-122.6996818,Café
233,Hillside,45.5274391,-122.7131197,ATAULA,45.53575277,-122.6997087,Tapas Restaurant
234,Hillside,45.5274391,-122.7131197,Shakespeare Garden,45.51855789,-122.7046845,Garden
235,Hillside,45.5274391,-122.7131197,Moberi,45.53497465,-122.6987791,Food Truck
236,Hillside,45.5274391,-122.7131197,The Fireside,45.5284899,-122.6988609,American Restaurant
237,Hillside,45.5274391,-122.7131197,Breakside Brewery,45.53392406,-122.6964645,Brewery
238,Hillside,45.5274391,-122.7131197,New Seasons Market,45.53383995,-122.6960056,Grocery Store
239,Hillside,45.5274391,-122.7131197,Ken's Artisan Bakery,45.52546303,-122.6943386,Bakery
240,Hillside,45.5274391,-122.7131197,Stepping Stone Cafe,45.53330949,-122.7006528,Diner
241,Hillside,45.5274391,-122.7131197,Fat Tire Farm,45.53519822,-122.7070414,Bike Shop
242,Hillside,45.5274391,-122.7131197,Food Front Cooperative Grocery NW,45.53554237,-122.7003107,Grocery Store
243,Hillside,45.5274391,-122.7131197,Trader Joe's,45.52614928,-122.6951399,Grocery Store
244,Hillside,45.5274391,-122.7131197,Audubon Society Of Portland,45.52668782,-122.7302234,Park
245,Hillside,45.5274391,-122.7131197,Life Of Pie,45.53509807,-122.6989169,Pizza Place
246,Hillside,45.5274391,-122.7131197,Forest Park - Thurman Gate,45.53975886,-122.7237453,Trail
247,Hillside,45.5274391,-122.7131197,Sterling Coffee Roasters,45.52597786,-122.6943533,Coffee Shop
248,Hillside,45.5274391,-122.7131197,Voicebox Karaoke,45.52692579,-122.6947924,Karaoke Bar
249,Hillside,45.5274391,-122.7131197,Fish And Rice,45.52442,-122.699142,Japanese Restaurant
250,Hillside,45.5274391,-122.7131197,Red Onion Thai,45.531111,-122.6987347,Thai Restaurant
251,Hillside,45.5274391,-122.7131197,Grassa,45.53350772,-122.698622,Italian Restaurant
252,Hillside,45.5274391,-122.7131197,Caffe Mingo,45.52878496,-122.6946173,Italian Restaurant
253,Hillside,45.5274391,-122.7131197,Ringside,45.52335705,-122.6957089,Steakhouse
254,Hillside,45.5274391,-122.7131197,Casa del Matador,45.53326662,-122.6985801,Mexican Restaurant
255,Hillside,45.5274391,-122.7131197,Leif Erickson Trail,45.53956809,-122.7247853,Trail
256,Hillside,45.5274391,-122.7131197,The Waiting Room,45.52916998,-122.699077,American Restaurant
257,Hillside,45.5274391,-122.7131197,Restaurant St Jack,45.53418829,-122.6987145,French Restaurant
258,Hillside,45.5274391,-122.7131197,Vivace Coffee House & Creperie,45.53281738,-122.6986342,Creperie
259,Hillside,45.5274391,-122.7131197,Tender Loving Empire,45.5266781,-122.6985795,Miscellaneous Shop
260,Hillside,45.5274391,-122.7131197,Please Louise,45.53354328,-122.6949228,New American Restaurant
261,Hillside,45.5274391,-122.7131197,The Float Shoppe,45.53361914,-122.6988528,Spa
262,Hillside,45.5274391,-122.7131197,Industrial Cafe & Saloon,45.5367905,-122.7042995,American Restaurant
263,Hillside,45.5274391,-122.7131197,Bartini,45.52621082,-122.6947661,Cocktail Bar
264,Hillside,45.5274391,-122.7131197,Escape From New York Pizza,45.52735528,-122.6984479,Pizza Place
265,Hillside,45.5274391,-122.7131197,Cinema 21 Theatre,45.52751448,-122.6943742,Movie Theater
266,Hillside,45.5274391,-122.7131197,McMenamins 23rd Avenue Bottle Shop,45.53547985,-122.6987805,Beer Bar
267,Hillside,45.5274391,-122.7131197,Providence Park,45.52154845,-122.691772,Soccer Stadium
268,Hillside,45.5274391,-122.7131197,prAna Portland,45.52759461,-122.6986494,Clothing Store
269,Hillside,45.5274391,-122.7131197,Bar Mingo,45.52887769,-122.6946133,Lounge
